id,organ_id,frequency,"name","created_at","updated_at","deleted_at"
1,NULL,214325,"без",NULL,NULL,NULL
2,NULL,205370,"и",NULL,NULL,NULL
3,NULL,125909,"б",NULL,NULL,NULL
4,1,123745,"дишане",NULL,"2020-05-17 10:02:25",NULL
5,NULL,123629,"о",NULL,NULL,NULL
6,2,120120,"корем",NULL,"2020-05-17 09:59:53",NULL
7,NULL,100661,"на",NULL,NULL,NULL
8,NULL,93966,"дроб",NULL,NULL,NULL
9,NULL,90640,"с",NULL,NULL,NULL
10,3,81538,"крайници",NULL,"2020-05-17 10:02:55",NULL
11,NULL,79082,"мек",NULL,NULL,NULL
12,1,77971,"везикуларно",NULL,"2020-05-17 10:03:20",NULL
13,NULL,77605,"не",NULL,NULL,NULL
14,NULL,74251,"дейност",NULL,NULL,NULL
15,NULL,70712,"rr",NULL,NULL,NULL
16,NULL,69905,"в",NULL,NULL,NULL
17,3,68261,"отоци",NULL,"2020-05-19 15:03:16",NULL
18,NULL,65986,"чисто",NULL,NULL,NULL
19,1,65112,"пулмо",NULL,"2020-05-17 10:03:45",NULL
20,NULL,63646,"тонове",NULL,NULL,NULL
21,NULL,62778,"се",NULL,NULL,NULL
22,4,61512,"ритмична",NULL,"2020-05-17 10:04:50",NULL
23,5,59499,"кожа",NULL,"2020-05-17 10:05:10",NULL
24,4,55398,"сърдечна",NULL,"2020-05-17 10:05:28",NULL
25,4,53965,"кор",NULL,"2020-05-17 10:22:53",NULL
26,1,53870,"хрипове",NULL,"2020-05-17 10:23:11",NULL
27,NULL,51172,"общо",NULL,NULL,NULL
28,NULL,49644,"ясни",NULL,NULL,NULL
29,NULL,49293,"неболезнен",NULL,NULL,NULL
30,6,48240,"слезка",NULL,"2020-05-17 10:24:38",NULL
31,NULL,43269,"състояние",NULL,NULL,NULL
32,NULL,42707,"статус",NULL,NULL,NULL
33,NULL,37837,"палпират",NULL,NULL,NULL
34,NULL,37063,"неувеличени",NULL,NULL,NULL
35,1,36103,"вез",NULL,"2020-05-17 10:25:45",NULL
36,NULL,36036,"д",NULL,NULL,NULL
37,NULL,34217,"рсд",NULL,NULL,NULL
38,NULL,33283,"мин",NULL,NULL,NULL
39,4,32870,"сърце",NULL,"2020-05-17 10:27:05",NULL
40,1,32452,"бял",NULL,"2020-05-17 10:27:47",NULL
41,NULL,32403,"двустранно",NULL,NULL,NULL
42,NULL,32150,"за",NULL,NULL,NULL
43,18,31021,"лигавици",NULL,"2020-05-17 10:42:59",NULL
44,NULL,30513,"периферни",NULL,NULL,NULL
45,7,29548,"шия",NULL,"2020-05-17 10:28:30",NULL
46,8,29068,"глава",NULL,"2020-05-17 10:28:40",NULL
47,9,29049,"гърло",NULL,"2020-05-17 10:28:50",NULL
48,4,28636,"сърд",NULL,"2020-05-17 10:29:10",NULL
49,10,28629,"възли",NULL,"2020-05-17 10:29:25",NULL
50,NULL,27530,"отр",NULL,NULL,NULL
51,NULL,27511,"р",NULL,NULL,NULL
52,4,27454,"пулс",NULL,"2020-05-17 10:30:06",NULL
53,NULL,27228,"рр",NULL,NULL,NULL
54,NULL,25748,"добро",NULL,NULL,NULL
55,10,25613,"лимфни",NULL,"2020-05-17 10:30:19",NULL
56,12,25220,"език",NULL,"2020-05-17 10:30:56",NULL
57,13,23275,"пулсации",NULL,"2020-05-17 10:31:27",NULL
58,4,22958,"ссс",NULL,"2020-05-17 10:31:42",NULL
59,NULL,22731,"запазени",NULL,NULL,NULL
60,14,22504,"чер",NULL,"2020-05-17 10:32:09",NULL
61,NULL,22337,"увеличени",NULL,NULL,NULL
62,4,22328,"cor",NULL,"2020-05-17 10:32:24",NULL
63,14,22301,"черен",NULL,"2020-05-17 10:32:37",NULL
64,2,22061,"палпаторно",NULL,"2020-05-17 10:32:51",NULL
65,NULL,21974,"по",NULL,NULL,NULL
66,NULL,21952,"прибавени",NULL,NULL,NULL
67,NULL,21908,"ч",NULL,NULL,NULL
68,NULL,21598,"фр",NULL,NULL,NULL
69,NULL,21206,"ren",NULL,NULL,NULL
70,4,21068,"шумове",NULL,"2020-05-17 10:33:06",NULL
71,NULL,21031,"видими",NULL,NULL,NULL
72,11,20672,"жлеза",NULL,"2020-05-17 10:33:22",NULL
73,17,20414,"succ",NULL,"2020-05-17 14:35:25",NULL
74,NULL,20108,"тон",NULL,NULL,NULL
75,NULL,19803,"ан",NULL,NULL,NULL
76,15,19047,"опорно",NULL,"2020-05-17 10:35:20",NULL
77,15,18793,"апарат",NULL,"2020-05-17 10:36:47",NULL
78,1,17874,"pulmo",NULL,"2020-05-17 10:33:45",NULL
79,NULL,17843,"норма",NULL,NULL,NULL
80,15,17340,"двиг",NULL,"2020-05-17 10:37:41",NULL
81,NULL,16813,"ритм",NULL,NULL,NULL
82,NULL,16256,"необложен",NULL,NULL,NULL
83,NULL,16138,"плв",NULL,NULL,NULL
84,16,15917,"кош",NULL,"2020-05-17 10:38:35",NULL
85,17,15663,"реналис",NULL,"2020-05-17 10:41:29",NULL
86,18,15141,"розови",NULL,"2020-05-17 10:42:30",NULL
87,NULL,14870,"уд",NULL,NULL,NULL
88,NULL,14718,"болезнен",NULL,NULL,NULL
89,17,14427,"сук",NULL,"2020-05-17 10:43:23",NULL
90,NULL,13698,"задоволително",NULL,NULL,NULL
91,3,13381,"сетивност",NULL,"2020-05-17 10:45:23",NULL
92,12,13249,"влажен",NULL,"2020-05-17 10:46:04",NULL
93,15,13249,"ода",NULL,"2020-05-17 10:46:47",NULL
94,NULL,12958,"спокоен",NULL,NULL,NULL
95,11,12649,"щит",NULL,"2020-05-17 10:47:03",NULL
96,2,12615,"стени",NULL,"2020-05-17 10:47:54",NULL
97,NULL,12509,"няма",NULL,NULL,NULL
98,NULL,12451,"ст",NULL,NULL,NULL
99,NULL,12423,"данни",NULL,NULL,NULL
100,NULL,12370,"находка",NULL,NULL,NULL
101,NULL,12359,"гр",NULL,NULL,NULL
102,NULL,12350,"fr",NULL,NULL,NULL
103,NULL,12306,"ясен",NULL,NULL,NULL
104,NULL,12293,"нормален",NULL,NULL,NULL
105,1,12189,"двустр",NULL,"2020-05-17 10:49:25",NULL
106,NULL,12079,"при",NULL,NULL,NULL
107,19,11894,"вени",NULL,"2020-05-17 10:49:52",NULL
108,4,11829,"сърдечни",NULL,"2020-05-17 10:50:04",NULL
109,14,11737,"хепар",NULL,"2020-05-17 10:51:55",NULL
110,1,11690,"перкуторен",NULL,"2020-05-17 10:52:46",NULL
